MD5_Hash,File_Path,File_Size_Bytes,Duplicate_Group
026f03c80c784c6f73451e1ae63c4c3f,docs/getting-started/superclaude-install.md,13817,1
026f03c80c784c6f73451e1ae63c4c3f,docs/SUPERCLAUDE-INSTALLATION.md,13817,1
19bff574d13013ede4ccf278d8e74861,docs/faq.md,10204,2
19bff574d13013ede4ccf278d8e74861,docs/troubleshooting/faq.md,10204,2
1cab2de3630934144f0526679434dee0,docs/AGENT-MIGRATION-INDEX.md,13125,3
1cab2de3630934144f0526679434dee0,docs/migration/agent-migration/index.md,13125,3
22ba512ce8e7c62a139508e588de4cba,docs/reference/architecture-part2.md,80108,4
22ba512ce8e7c62a139508e588de4cba,docs/system-architecture.md,80108,4
28c1e53ba47d1fb03f488059a0a608c7,docs/agent-migration-analysis.md,24523,5
28c1e53ba47d1fb03f488059a0a608c7,docs/migration/agent-migration/analysis.md,24523,5
2bbe046f7f45dc477e47a974d3bbeca3,docs/architecture.md,14199,6
2bbe046f7f45dc477e47a974d3bbeca3,docs/reference/architecture-part1.md,14199,6
2bc4f8a439ad02f61968a3ee387444c3,docs/QUICK-REFERENCE.md,7026,7
2bc4f8a439ad02f61968a3ee387444c3,docs/quick-reference/overview.md,7026,7
32452b3b74a3d7d1c2c286d6a5930eb8,docs/command-organization-summary.md,19536,8
32452b3b74a3d7d1c2c286d6a5930eb8,docs/migration/command-migration/summary.md,19536,8
38cb7c70f08b4abc688c4ca2b16d11f5,docs/features/research-daemon/guide.md,12660,9
38cb7c70f08b4abc688c4ca2b16d11f5,docs/RESEARCH-DAEMON-GUIDE.md,12660,9
3d2543fb00456c33bf4478bdda16de1c,docs/CCPM-COMMANDS.md,5936,10
3d2543fb00456c33bf4478bdda16de1c,docs/reference/ccpm-commands.md,5936,10
3e28098bd9839b9e6bc9198ad78983cf,docs/ENHANCED-CAPABILITIES.md,10383,11
3e28098bd9839b9e6bc9198ad78983cf,docs/implementation/capabilities.md,10383,11
405e3efb1ccfcd58e0209618fa98dc8c,docs/features/github-integration/setup-plan.md,5929,12
405e3efb1ccfcd58e0209618fa98dc8c,docs/github-setup-plan.md,5929,12
4945bb18c9fb7b2b9a510347487fafe5,docs/COMPLETE-FILE-MIGRATION-MAP.md,10796,13
4945bb18c9fb7b2b9a510347487fafe5,docs/migration/file-migration/complete-map.md,10796,13
5159369e1dc1deeef75d562f74a1b303,docs/command-categories-detailed.md,16162,14
5159369e1dc1deeef75d562f74a1b303,docs/migration/command-migration/categories.md,16162,14
554c5008a993fecc3aeace73a0463bbf,docs/blueprints/migration-plan.md,17433,15
554c5008a993fecc3aeace73a0463bbf,docs/migration-plan.md,17433,15
57bd88062580aa6fc8da3ad468eaf172,docs/configuration-reference.md,9980,16
57bd88062580aa6fc8da3ad468eaf172,docs/reference/configuration.md,9980,16
794c1c6383597c7f412ef2f167475c2b,docs/migration/project-reorganization/research-reorganization.md,13201,17
794c1c6383597c7f412ef2f167475c2b,docs/RESEARCH-REORGANIZATION-DETAILED.md,13201,17
7a59b747ecb9e088b08362b84907dba9,docs/archive/epic-1/quick-start.md,27407,18
7a59b747ecb9e088b08362b84907dba9,docs/quick-start-epic-1.md,27407,18
8c9907be63094147c40eba206d474cc1,docs/migration/project-reorganization/executive-summary.md,5898,19
8c9907be63094147c40eba206d474cc1,docs/REORGANIZATION-EXECUTIVE-SUMMARY.md,5898,19
8eb0696763501d0e42073d61cf3e0cd1,docs/features/research-daemon/quickstart.md,4940,20
8eb0696763501d0e42073d61cf3e0cd1,docs/RESEARCH-DAEMON-QUICKSTART.md,4940,20
8f756ebb54b047b18dc0dd135978e742,docs/ccpm-implementation-guide.md,14087,21
8f756ebb54b047b18dc0dd135978e742,docs/guides/ccpm-workflow.md,14087,21
99022b150347298cee13bc01e2835a34,docs/features/research-daemon/autosave-hook.md,8985,22
99022b150347298cee13bc01e2835a34,docs/research-autosave-hook.md,8985,22
a48ace5d89ac7f3360abd29f3e6429d5,docs/guides/hook-system.md,7123,23
a48ace5d89ac7f3360abd29f3e6429d5,docs/HOOK-TESTING-GUIDE.md,7123,23
a91ebd3d68bbb26febe1ad1ea8405d48,docs/migration/project-reorganization/plan.md,15869,24
a91ebd3d68bbb26febe1ad1ea8405d48,docs/PROJECT-REORGANIZATION-PLAN.md,15869,24
a9dffc53c37318a400db9043a6d77b27,docs/archive/epic-1/research-hook.md,6088,25
a9dffc53c37318a400db9043a6d77b27,docs/QUICK-START-RESEARCH-HOOK.md,6088,25
ab0a0785573e9cc70cdce7ede9941134,docs/agent-dependency-graph.md,19463,26
ab0a0785573e9cc70cdce7ede9941134,docs/migration/agent-migration/dependency-graph.md,19463,26
adb1f48cc5b6b54ab77a9965559ec4fc,docs/archive/epic-1/implementation.md,23725,27
adb1f48cc5b6b54ab77a9965559ec4fc,docs/QUICK-START-IMPLEMENTATION.md,23725,27
b6621512928b3b8bc278191cf6aa2704,docs/getting-started.md,8852,28
b6621512928b3b8bc278191cf6aa2704,docs/getting-started/quick-start.md,8852,28
b6e12f8ce60b48472f55a9e0c4e50d0d,docs/CCPM-INSTALLATION.md,7182,29
b6e12f8ce60b48472f55a9e0c4e50d0d,docs/getting-started/ccpm-install.md,7182,29
bab8eab8164ad4a37a3f796f82834291,docs/command-quick-reference.md,9922,30
bab8eab8164ad4a37a3f796f82834291,docs/quick-reference/commands.md,9922,30
bbc599bcd2b1a2165ba2b3ddfd9062af,docs/migration/project-reorganization/migration-report.md,13354,31
bbc599bcd2b1a2165ba2b3ddfd9062af,docs/REORGANIZATION-MIGRATION-REPORT.md,13354,31
bde79b19a629fb6fbd5f1389569863be,docs/ccpm-development-plan.md,33684,32
bde79b19a629fb6fbd5f1389569863be,docs/guides/ccpm-development.md,33684,32
c048b925c13cac97c4e6c7e0c3797a47,docs/AGENT-MIGRATION-README.md,11685,33
c048b925c13cac97c4e6c7e0c3797a47,docs/migration/agent-migration/README.md,11685,33
c26e0025f2b85664d264002157862674,docs/command-organization-analysis.md,16953,34
c26e0025f2b85664d264002157862674,docs/migration/command-migration/organization-analysis.md,16953,34
c2f388e84e0d345151d61603d6cd9322,docs/AGENT-MIGRATION-SUMMARY.md,12294,35
c2f388e84e0d345151d61603d6cd9322,docs/migration/agent-migration/summary.md,12294,35
c5ed8ac6f60d7351509854f52c8aad45,docs/features/research-daemon/summary.md,6066,36
c5ed8ac6f60d7351509854f52c8aad45,docs/RESEARCH-DAEMON-SUMMARY.md,6066,36
c6d3cc39dc139b47d27ef46363720abf,docs/CCPM-AGENTS.md,4279,37
c6d3cc39dc139b47d27ef46363720abf,docs/reference/ccpm-agents.md,4279,37
c73b166618b487cca9e138719b0c795b,docs/CCPM-README.md,16798,38
c73b166618b487cca9e138719b0c795b,docs/guides/ccpm-readme.md,16798,38
ea74152a9fce6bd1fedbb37286012706,docs/blueprints/security-analysis-report.md,15937,39
ea74152a9fce6bd1fedbb37286012706,docs/security-analysis-report.md,15937,39
ec7f8ab42f9b3b4ec9e9142a992a37d2,docs/troubleshooting/common-issues.md,9583,40
ec7f8ab42f9b3b4ec9e9142a992a37d2,docs/troubleshooting.md,9583,40
f71f7a656cfef0eb8baa80712e6348d3,docs/implementation/roadmap.md,14220,41
f71f7a656cfef0eb8baa80712e6348d3,docs/IMPLEMENTATION-SUMMARY.md,14220,41
f7f13f0e08358500d857f886b53b3ce6,docs/blueprints/master-migration-blueprint.md,20114,42
f7f13f0e08358500d857f886b53b3ce6,docs/MASTER-MIGRATION-BLUEPRINT.md,20114,42
fbb955f39495c8ffb42a40342cc843b5,docs/archive/research-hook/final-summary.md,15210,43
fbb955f39495c8ffb42a40342cc843b5,docs/RESEARCH-HOOK-FINAL-SUMMARY.md,15210,43
